year,population
1961,173.9565493
1962,177.6990008
1963,181.6965384
1964,185.7093105
1965,189.7922049
1966,193.5730653
1967,197.5815804
1968,201.4209639
1969,204.8865008
1970,208.1658175
1971,211.0645777
1972,213.5705072
1973,216.0206449
1974,218.3217433
1975,220.5702398
1976,222.4574092
1977,224.4727059
1978,226.5986168
1979,229.8095865
1980,233.3616367
1981,237.7111764
1982,242.7421308
1983,247.4818603
1984,252.4327591
1985,257.2928379
1986,262.2368617
1987,267.4114141
1988,272.7005302
1989,277.9151555
1990,283.0727131
1991,285.4233612
1992,290.2669389
1993,294.5984357
1994,299.1368727
1995,301.5182261
1996,306.9440912
1997,311.5610645
1998,316.2160999
1999,320.4528452
2000,324.6943533
2001,310.6875143
2002,312.5333356
2003,315.9147272
2004,318.1883887
2005,322.9630702
2006,326.4448119
2007,330.2614149
2008,335.5545073
2009,339.8114268
2010,343.9689583
2011,347.1483237
2012,352.4030848
2013,356.4689578
2014,361.288823
2015,365.8501877
2016,370.1800371
2017,373.565744
2018,373.5776527
2019,377.8632471
2020,381.1660427
2021,382.7989843
